0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,6
0,0,0,0,6,1,1,0,6,3,0,4,0,1,0,0,0,0,0,0,0,6,0,0
0,6,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,7
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,7,0,1,0,1,0,0,3,0
0,3,0,0,1,1,0,1,1,3,1,0,0,0,0,0,0,4,0,0,0,0,0,4
0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0
0,0,0,6,0,0,1,1,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0
0,0,1,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,5,0,7,6,1,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,5
0,0,1,1,0,3,0,0,0,0,0,1,0,1,1,0,0,6,0,1,2,6,0,6
4,0,0,0,3,1,0,1,0,0,0,5,4,0,0,0,0,4,0,6,0,1,0,0
4,0,0,0,1,6,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,3,1,3,0,0,4,0,6,1,0,0,0,0,1,0,0,0,0,0,0
